scheme	src_ref	dst_ref	note
MT	1Chr.6.59	1Chr.6.74	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.6	1Chr.6.21	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.60	1Chr.6.75	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.61	1Chr.6.76	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.62	1Chr.6.77	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.63	1Chr.6.78	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.64	1Chr.6.79	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.65	1Chr.6.80	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.66	1Chr.6.81	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.7	1Chr.6.22	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.8	1Chr.6.23	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.9	1Chr.6.24	empirical DP alignment (shift), gloss-validated
MT	1Kgs.22.44	1Kgs.22.43	empirical DP alignment (merge:second), gloss-validated overlap=0.29
MT	1Kgs.22.45	1Kgs.22.44	empirical DP alignment (shift), gloss-validated
MT	1Kgs.22.46	1Kgs.22.45	empirical DP alignment (shift), gloss-validated
MT	1Kgs.22.47	1Kgs.22.46	empirical DP alignment (shift), gloss-validated
MT	1Kgs.22.48	1Kgs.22.47	empirical DP alignment (shift), gloss-validated
MT	1Kgs.22.49	1Kgs.22.48	empirical DP alignment (shift), gloss-validated
MT	1Kgs.22.50	1Kgs.22.49	empirical DP alignment (shift), gloss-validated
MT	1Kgs.22.51	1Kgs.22.50	empirical DP alignment (shift), gloss-validated
MT	1Kgs.22.52	1Kgs.22.51	empirical DP alignment (shift), gloss-validated
MT	1Kgs.22.53	1Kgs.22.52	empirical DP alignment (shift), gloss-validated
MT	1Kgs.22.54	1Kgs.22.53	empirical DP alignment (shift), gloss-validated
MT	1Kgs.5.1	1Kgs.4.21	empirical DP alignment (shift), gloss-validated
MT	1Kgs.5.10	1Kgs.4.30	empirical DP alignment (shift), gloss-validated
MT	1Kgs.5.11	1Kgs.4.31	empirical DP alignment (shift), gloss-validated
MT	1Kgs.5.12	1Kgs.4.32	empirical DP alignment (shift), gloss-validated
MT	1Kgs.5.13	1Kgs.4.33	empirical DP alignment (shift), gloss-validated
MT	1Kgs.5.14	1Kgs.4.34	empirical DP alignment (shift), gloss-validated
MT	1Kgs.5.15	1Kgs.5.1	empirical DP alignment (shift), gloss-validated
MT	1Kgs.5.16	1Kgs.5.2	empirical DP alignment (shift), gloss-validated
MT	1Kgs.5.17	1Kgs.5.3	empirical DP alignment (shift), gloss-validated
MT	1Kgs.5.18	1Kgs.5.4	empirical DP alignment (shift), gloss-validated
MT	1Kgs.5.19	1Kgs.5.5	empirical DP alignment (shift), gloss-validated
MT	1Kgs.5.2	1Kgs.4.22	empirical DP alignment (shift), gloss-validated
MT	1Kgs.5.20	1Kgs.5.6	empirical DP alignment (shift), gloss-validated
MT	1Kgs.5.21	1Kgs.5.7	empirical DP alignment (shift), gloss-validated
MT	1Kgs.5.22	1Kgs.5.8	empirical DP alignment (shift), gloss-validated
MT	1Kgs.5.23	1Kgs.5.9	empirical DP alignment (shift), gloss-validated
MT	1Kgs.5.24	1Kgs.5.10	empirical DP alignment (shift), gloss-validated
MT	1Kgs.5.25	1Kgs.5.11	empirical DP alignment (shift), gloss-validated
MT	1Kgs.5.26	1Kgs.5.12	empirical DP alignment (shift), gloss-validated
MT	1Kgs.5.27	1Kgs.5.13	empirical DP alignment (shift), gloss-validated
MT	1Kgs.5.28	1Kgs.5.14	empirical DP alignment (shift), gloss-validated
MT	1Kgs.5.29	1Kgs.5.15	empirical DP alignment (shift), gloss-validated
MT	1Kgs.5.3	1Kgs.4.23	empirical DP alignment (shift), gloss-validated
MT	1Kgs.5.30	1Kgs.5.16	empirical DP alignment (shift), gloss-validated
MT	1Kgs.5.31	1Kgs.5.17	empirical DP alignment (shift), gloss-validated
MT	1Kgs.5.32	1Kgs.5.18	empirical DP alignment (shift), gloss-validated
MT	1Kgs.5.4	1Kgs.4.24	empirical DP alignment (shift), gloss-validated
MT	1Kgs.5.5	1Kgs.4.25	empirical DP alignment (shift), gloss-validated
MT	1Kgs.5.6	1Kgs.4.26	empirical DP alignment (shift), gloss-validated
MT	1Kgs.5.7	1Kgs.4.27	empirical DP alignment (shift), gloss-validated
MT	1Kgs.5.8	1Kgs.4.28	empirical DP alignment (shift), gloss-validated
MT	1Kgs.5.9	1Kgs.4.29	empirical DP alignment (shift), gloss-validated
MT	1Sam.21.1	1Sam.20.42	empirical residual merge, overlap=0.50
MT	1Sam.21.10	1Sam.21.9	empirical DP alignment (shift), gloss-validated
MT	1Sam.21.11	1Sam.21.10	empirical DP alignment (shift), gloss-validated
MT	1Sam.21.12	1Sam.21.11	empirical DP alignment (shift), gloss-validated
MT	1Sam.21.13	1Sam.21.12	empirical DP alignment (shift), gloss-validated
MT	1Sam.21.14	1Sam.21.13	empirical DP alignment (shift), gloss-validated
MT	1Sam.21.15	1Sam.21.14	empirical DP alignment (shift), gloss-validated
MT	1Sam.21.16	1Sam.21.15	empirical DP alignment (shift), gloss-validated
MT	1Sam.21.2	1Sam.21.1	empirical DP alignment (shift), gloss-validated
MT	1Sam.21.3	1Sam.21.2	empirical DP alignment (shift), gloss-validated
MT	1Sam.21.4	1Sam.21.3	empirical DP alignment (shift), gloss-validated
MT	1Sam.21.5	1Sam.21.4	empirical DP alignment (shift), gloss-validated
MT	1Sam.21.6	1Sam.21.5	empirical DP alignment (shift), gloss-validated
MT	1Sam.21.7	1Sam.21.6	empirical DP alignment (shift), gloss-validated
MT	1Sam.21.8	1Sam.21.7	empirical DP alignment (shift), gloss-validated
MT	1Sam.21.9	1Sam.21.8	empirical DP alignment (shift), gloss-validated
MT	1Sam.24.1	1Sam.23.29	empirical DP alignment (shift), gloss-validated
MT	1Sam.24.10	1Sam.24.9	empirical DP alignment (shift), gloss-validated
MT	1Sam.24.11	1Sam.24.10	empirical DP alignment (shift), gloss-validated
MT	1Sam.24.12	1Sam.24.11	empirical DP alignment (shift), gloss-validated
MT	1Sam.24.13	1Sam.24.12	empirical DP alignment (shift), gloss-validated
MT	1Sam.24.14	1Sam.24.13	empirical DP alignment (shift), gloss-validated
MT	1Sam.24.15	1Sam.24.14	empirical DP alignment (shift), gloss-validated
MT	1Sam.24.16	1Sam.24.15	empirical DP alignment (shift), gloss-validated
MT	1Sam.24.17	1Sam.24.16	empirical DP alignment (shift), gloss-validated
MT	1Sam.24.18	1Sam.24.17	empirical DP alignment (shift), gloss-validated
MT	1Sam.24.19	1Sam.24.18	empirical DP alignment (shift), gloss-validated
MT	1Sam.24.2	1Sam.24.1	empirical DP alignment (shift), gloss-validated
MT	1Sam.24.20	1Sam.24.19	empirical DP alignment (shift), gloss-validated
MT	1Sam.24.21	1Sam.24.20	empirical DP alignment (shift), gloss-validated
MT	1Sam.24.22	1Sam.24.21	empirical DP alignment (shift), gloss-validated
MT	1Sam.24.23	1Sam.24.22	empirical DP alignment (shift), gloss-validated
MT	1Sam.24.3	1Sam.24.2	empirical DP alignment (shift), gloss-validated
MT	1Sam.24.4	1Sam.24.3	empirical DP alignment (shift), gloss-validated
MT	1Sam.24.5	1Sam.24.4	empirical DP alignment (shift), gloss-validated
MT	1Sam.24.6	1Sam.24.5	empirical DP alignment (shift), gloss-validated
MT	1Sam.24.7	1Sam.24.6	empirical DP alignment (shift), gloss-validated
MT	1Sam.24.8	1Sam.24.7	empirical DP alignment (shift), gloss-validated
MT	1Sam.24.9	1Sam.24.8	empirical DP alignment (shift), gloss-validated
MT	2Chr.1.18	2Chr.2.1	empirical sequence alignment, gloss-validated
MT	2Chr.13.23	2Chr.14.1	empirical sequence alignment, gloss-validated
MT	2Chr.14.1	2Chr.14.2	empirical sequence alignment, gloss-validated
MT	2Chr.14.10	2Chr.14.11	empirical sequence alignment, gloss-validated
MT	2Chr.14.11	2Chr.14.12	empirical sequence alignment, gloss-validated
MT	2Chr.14.12	2Chr.14.13	empirical sequence alignment, gloss-validated
MT	2Chr.14.13	2Chr.14.14	empirical sequence alignment, gloss-validated
MT	2Chr.14.14	2Chr.14.15	empirical sequence alignment, gloss-validated
MT	2Chr.14.2	2Chr.14.3	empirical sequence alignment, gloss-validated
MT	2Chr.14.3	2Chr.14.4	empirical sequence alignment, gloss-validated
MT	2Chr.14.4	2Chr.14.5	empirical sequence alignment, gloss-validated
MT	2Chr.14.5	2Chr.14.6	empirical sequence alignment, gloss-validated
MT	2Chr.14.6	2Chr.14.7	empirical sequence alignment, gloss-validated
MT	2Chr.14.7	2Chr.14.8	empirical sequence alignment, gloss-validated
MT	2Chr.14.8	2Chr.14.9	empirical sequence alignment, gloss-validated
MT	2Chr.14.9	2Chr.14.10	empirical sequence alignment, gloss-validated
MT	2Chr.2.1	2Chr.2.2	empirical sequence alignment, gloss-validated
MT	2Chr.2.10	2Chr.2.11	empirical sequence alignment, gloss-validated
MT	2Chr.2.11	2Chr.2.12	empirical sequence alignment, gloss-validated
MT	2Chr.2.12	2Chr.2.13	empirical sequence alignment, gloss-validated
MT	2Chr.2.13	2Chr.2.14	empirical sequence alignment, gloss-validated
MT	2Chr.2.14	2Chr.2.15	empirical sequence alignment, gloss-validated
MT	2Chr.2.15	2Chr.2.16	empirical sequence alignment, gloss-validated
MT	2Chr.2.16	2Chr.2.17	empirical sequence alignment, gloss-validated
MT	2Chr.2.17	2Chr.2.18	empirical sequence alignment, gloss-validated
MT	2Chr.2.2	2Chr.2.3	empirical sequence alignment, gloss-validated
MT	2Chr.2.3	2Chr.2.4	empirical sequence alignment, gloss-validated
MT	2Chr.2.4	2Chr.2.5	empirical sequence alignment, gloss-validated
MT	2Chr.2.5	2Chr.2.6	empirical sequence alignment, gloss-validated
MT	2Chr.2.6	2Chr.2.7	empirical sequence alignment, gloss-validated
MT	2Chr.2.7	2Chr.2.8	empirical sequence alignment, gloss-validated
MT	2Chr.2.8	2Chr.2.9	empirical sequence alignment, gloss-validated
MT	2Chr.2.9	2Chr.2.10	empirical sequence alignment, gloss-validated
MT	2Cor.13.12	2Cor.13.13	empirical DP alignment (split:second), gloss-validated overlap=0.50
MT	2Cor.13.13	2Cor.13.14	empirical DP alignment (shift), gloss-validated
MT	2Kgs.12.1	2Kgs.11.21	empirical sequence alignment, gloss-validated
MT	2Kgs.12.10	2Kgs.12.9	empirical sequence alignment, gloss-validated
MT	2Kgs.12.11	2Kgs.12.10	empirical sequence alignment, gloss-validated
MT	2Kgs.12.12	2Kgs.12.11	empirical sequence alignment, gloss-validated
MT	2Kgs.12.13	2Kgs.12.12	empirical sequence alignment, gloss-validated
MT	2Kgs.12.14	2Kgs.12.13	empirical sequence alignment, gloss-validated
MT	2Kgs.12.15	2Kgs.12.14	empirical sequence alignment, gloss-validated
MT	2Kgs.12.16	2Kgs.12.15	empirical sequence alignment, gloss-validated
MT	2Kgs.12.17	2Kgs.12.16	empirical sequence alignment, gloss-validated
MT	2Kgs.12.18	2Kgs.12.17	empirical sequence alignment, gloss-validated
MT	2Kgs.12.19	2Kgs.12.18	empirical sequence alignment, gloss-validated
MT	2Kgs.12.2	2Kgs.12.1	empirical sequence alignment, gloss-validated
MT	2Kgs.12.20	2Kgs.12.19	empirical sequence alignment, gloss-validated
MT	2Kgs.12.21	2Kgs.12.20	empirical sequence alignment, gloss-validated
MT	2Kgs.12.22	2Kgs.12.21	empirical sequence alignment, gloss-validated
MT	2Kgs.12.3	2Kgs.12.2	empirical sequence alignment, gloss-validated
MT	2Kgs.12.4	2Kgs.12.3	empirical sequence alignment, gloss-validated
MT	2Kgs.12.5	2Kgs.12.4	empirical sequence alignment, gloss-validated
MT	2Kgs.12.6	2Kgs.12.5	empirical sequence alignment, gloss-validated
MT	2Kgs.12.7	2Kgs.12.6	empirical sequence alignment, gloss-validated
MT	2Kgs.12.8	2Kgs.12.7	empirical sequence alignment, gloss-validated
MT	2Kgs.12.9	2Kgs.12.8	empirical sequence alignment, gloss-validated
MT	2Sam.19.1	2Sam.18.33	empirical sequence alignment, gloss-validated
MT	2Sam.19.10	2Sam.19.9	empirical sequence alignment, gloss-validated
MT	2Sam.19.11	2Sam.19.10	empirical sequence alignment, gloss-validated
MT	2Sam.19.12	2Sam.19.11	empirical sequence alignment, gloss-validated
MT	2Sam.19.13	2Sam.19.12	empirical sequence alignment, gloss-validated
MT	2Sam.19.14	2Sam.19.13	empirical sequence alignment, gloss-validated
MT	2Sam.19.15	2Sam.19.14	empirical sequence alignment, gloss-validated
MT	2Sam.19.16	2Sam.19.15	empirical sequence alignment, gloss-validated
MT	2Sam.19.17	2Sam.19.16	empirical sequence alignment, gloss-validated
MT	2Sam.19.18	2Sam.19.17	empirical sequence alignment, gloss-validated
MT	2Sam.19.19	2Sam.19.18	empirical sequence alignment, gloss-validated
MT	2Sam.19.2	2Sam.19.1	empirical sequence alignment, gloss-validated
MT	2Sam.19.20	2Sam.19.19	empirical sequence alignment, gloss-validated
MT	2Sam.19.21	2Sam.19.20	empirical sequence alignment, gloss-validated
MT	2Sam.19.22	2Sam.19.21	empirical sequence alignment, gloss-validated
MT	2Sam.19.23	2Sam.19.22	empirical sequence alignment, gloss-validated
MT	2Sam.19.24	2Sam.19.23	empirical sequence alignment, gloss-validated
MT	2Sam.19.25	2Sam.19.24	empirical sequence alignment, gloss-validated
MT	2Sam.19.26	2Sam.19.25	empirical sequence alignment, gloss-validated
MT	2Sam.19.27	2Sam.19.26	empirical sequence alignment, gloss-validated
MT	2Sam.19.28	2Sam.19.27	empirical sequence alignment, gloss-validated
MT	2Sam.19.29	2Sam.19.28	empirical sequence alignment, gloss-validated
MT	2Sam.19.3	2Sam.19.2	empirical sequence alignment, gloss-validated
MT	2Sam.19.30	2Sam.19.29	empirical sequence alignment, gloss-validated
MT	2Sam.19.31	2Sam.19.30	empirical sequence alignment, gloss-validated
MT	2Sam.19.32	2Sam.19.31	empirical sequence alignment, gloss-validated
MT	2Sam.19.33	2Sam.19.32	empirical sequence alignment, gloss-validated
MT	2Sam.19.34	2Sam.19.33	empirical sequence alignment, gloss-validated
MT	2Sam.19.35	2Sam.19.34	empirical sequence alignment, gloss-validated
MT	2Sam.19.36	2Sam.19.35	empirical sequence alignment, gloss-validated
MT	2Sam.19.37	2Sam.19.36	empirical sequence alignment, gloss-validated
MT	2Sam.19.38	2Sam.19.37	empirical sequence alignment, gloss-validated
MT	2Sam.19.39	2Sam.19.38	empirical sequence alignment, gloss-validated
MT	2Sam.19.4	2Sam.19.3	empirical sequence alignment, gloss-validated
MT	2Sam.19.40	2Sam.19.39	empirical sequence alignment, gloss-validated
MT	2Sam.19.41	2Sam.19.40	empirical sequence alignment, gloss-validated
MT	2Sam.19.42	2Sam.19.41	empirical sequence alignment, gloss-validated
MT	2Sam.19.43	2Sam.19.42	empirical sequence alignment, gloss-validated
MT	2Sam.19.44	2Sam.19.43	empirical sequence alignment, gloss-validated
MT	2Sam.19.5	2Sam.19.4	empirical sequence alignment, gloss-validated
MT	2Sam.19.6	2Sam.19.5	empirical sequence alignment, gloss-validated
MT	2Sam.19.7	2Sam.19.6	empirical sequence alignment, gloss-validated
MT	2Sam.19.8	2Sam.19.7	empirical sequence alignment, gloss-validated
MT	2Sam.19.9	2Sam.19.8	empirical sequence alignment, gloss-validated
MT	3John.1.15	3John.1.14	empirical residual merge, overlap=1.00
MT	Acts.19.40	Acts.19.41	empirical DP alignment (split:second), gloss-validated overlap=0.33
MT	Dan.3.31	Dan.4.1	empirical sequence alignment, gloss-validated
MT	Dan.3.32	Dan.4.2	empirical sequence alignment, gloss-validated
MT	Dan.3.33	Dan.4.3	empirical sequence alignment, gloss-validated
MT	Dan.4.1	Dan.4.4	empirical sequence alignment, gloss-validated
MT	Dan.4.10	Dan.4.13	empirical sequence alignment, gloss-validated
MT	Dan.4.11	Dan.4.14	empirical sequence alignment, gloss-validated
MT	Dan.4.12	Dan.4.15	empirical sequence alignment, gloss-validated
MT	Dan.4.13	Dan.4.16	empirical sequence alignment, gloss-validated
MT	Dan.4.14	Dan.4.17	empirical sequence alignment, gloss-validated
MT	Dan.4.15	Dan.4.18	empirical sequence alignment, gloss-validated
MT	Dan.4.16	Dan.4.19	empirical sequence alignment, gloss-validated
MT	Dan.4.17	Dan.4.20	empirical sequence alignment, gloss-validated
MT	Dan.4.18	Dan.4.21	empirical sequence alignment, gloss-validated
MT	Dan.4.19	Dan.4.22	empirical sequence alignment, gloss-validated
MT	Dan.4.2	Dan.4.5	empirical sequence alignment, gloss-validated
MT	Dan.4.20	Dan.4.23	empirical sequence alignment, gloss-validated
MT	Dan.4.21	Dan.4.24	empirical sequence alignment, gloss-validated
MT	Dan.4.22	Dan.4.25	empirical sequence alignment, gloss-validated
MT	Dan.4.23	Dan.4.26	empirical sequence alignment, gloss-validated
MT	Dan.4.24	Dan.4.27	empirical sequence alignment, gloss-validated
MT	Dan.4.25	Dan.4.28	empirical sequence alignment, gloss-validated
MT	Dan.4.26	Dan.4.29	empirical sequence alignment, gloss-validated
MT	Dan.4.27	Dan.4.30	empirical sequence alignment, gloss-validated
MT	Dan.4.28	Dan.4.31	empirical sequence alignment, gloss-validated
MT	Dan.4.29	Dan.4.32	empirical sequence alignment, gloss-validated
MT	Dan.4.3	Dan.4.6	empirical sequence alignment, gloss-validated
MT	Dan.4.30	Dan.4.33	empirical sequence alignment, gloss-validated
MT	Dan.4.31	Dan.4.34	empirical sequence alignment, gloss-validated
MT	Dan.4.32	Dan.4.35	empirical sequence alignment, gloss-validated
MT	Dan.4.33	Dan.4.36	empirical sequence alignment, gloss-validated
MT	Dan.4.34	Dan.4.37	empirical sequence alignment, gloss-validated
MT	Dan.4.4	Dan.4.7	empirical sequence alignment, gloss-validated
MT	Dan.4.5	Dan.4.8	empirical sequence alignment, gloss-validated
MT	Dan.4.6	Dan.4.9	empirical sequence alignment, gloss-validated
MT	Dan.4.7	Dan.4.10	empirical sequence alignment, gloss-validated
MT	Dan.4.8	Dan.4.11	empirical sequence alignment, gloss-validated
MT	Dan.4.9	Dan.4.12	empirical sequence alignment, gloss-validated
MT	Dan.6.1	Dan.5.31	empirical sequence alignment, gloss-validated
MT	Dan.6.10	Dan.6.9	empirical sequence alignment, gloss-validated
MT	Dan.6.11	Dan.6.10	empirical sequence alignment, gloss-validated
MT	Dan.6.12	Dan.6.11	empirical sequence alignment, gloss-validated
MT	Dan.6.13	Dan.6.12	empirical sequence alignment, gloss-validated
MT	Dan.6.14	Dan.6.13	empirical sequence alignment, gloss-validated
MT	Dan.6.15	Dan.6.14	empirical sequence alignment, gloss-validated
MT	Dan.6.16	Dan.6.15	empirical sequence alignment, gloss-validated
MT	Dan.6.17	Dan.6.16	empirical sequence alignment, gloss-validated
MT	Dan.6.18	Dan.6.17	empirical sequence alignment, gloss-validated
MT	Dan.6.19	Dan.6.18	empirical sequence alignment, gloss-validated
MT	Dan.6.2	Dan.6.1	empirical sequence alignment, gloss-validated
MT	Dan.6.20	Dan.6.19	empirical sequence alignment, gloss-validated
MT	Dan.6.21	Dan.6.20	empirical sequence alignment, gloss-validated
MT	Dan.6.22	Dan.6.21	empirical sequence alignment, gloss-validated
